,image_id,label
5052,1900920171.jpg,2
3903,1695222952.jpg,2
2837,1492381879.jpg,3
261,1046703257.jpg,4
16510,3968083899.jpg,0
5965,206432986.jpg,4
1024,1177346702.jpg,1
18412,447053671.jpg,2
5256,1937546373.jpg,4
17479,4149442480.jpg,3
19661,671937589.jpg,3
5696,2013837502.jpg,3
7994,2421207355.jpg,3
1058,1181678723.jpg,0
3050,1527846790.jpg,3
15606,3805606853.jpg,3
18160,4270972443.jpg,4
5519,1983266061.jpg,3
13044,3337726252.jpg,1
19488,639060341.jpg,1
12765,3285778653.jpg,2
7156,2276911457.jpg,3
9098,2607724475.jpg,3
8999,2592556501.jpg,3
13196,336299725.jpg,2
10637,2895704556.jpg,3
17038,4063867745.jpg,3
16176,3914258603.jpg,2
18847,520111872.jpg,3
12661,3268942286.jpg,3
20440,813017538.jpg,3
19170,581030887.jpg,4
8453,2499466480.jpg,4
11212,3001382345.jpg,1
1934,1340939411.jpg,3
289,1050774063.jpg,3
10994,2958853820.jpg,3
11801,311255261.jpg,3
12738,3279881598.jpg,1
9393,2662609508.jpg,3
4022,1716118009.jpg,4
9776,2735085014.jpg,4
12767,328605603.jpg,3
20536,82972530.jpg,3
9811,2742945698.jpg,4
2335,140467144.jpg,3
20499,823914480.jpg,3
11065,2972617511.jpg,2
16717,4007062391.jpg,0
13527,3418110218.jpg,3
3170,1550131198.jpg,1
2404,1419231799.jpg,1
20593,839547710.jpg,3
11029,2966301769.jpg,3
10483,2870426573.jpg,3
13871,3480857039.jpg,3
5087,1906831443.jpg,3
39,1007891044.jpg,3
1903,1335531094.jpg,1
13829,3473517572.jpg,3
12592,3257324402.jpg,3
4862,1867337976.jpg,3
21276,975311959.jpg,3
198,1036959902.jpg,0
20779,875360512.jpg,3
1824,1320276326.jpg,4
12502,3241038013.jpg,3
6243,2117358649.jpg,1
10063,2792655126.jpg,2
4452,179539065.jpg,3
4644,1830680184.jpg,2
6252,2119378021.jpg,3
4908,1875934102.jpg,4
2403,1418896988.jpg,1
7406,2322664603.jpg,3
757,1129666944.jpg,1
4026,1716624232.jpg,3
5283,194223136.jpg,3
4738,184437770.jpg,3
17627,4175172679.jpg,3
14893,3672574295.jpg,3
16858,403345253.jpg,3
19711,680910518.jpg,3
17436,4144297967.jpg,3
